Name,Region,Type,Role in Klara,Pilot Relevance,Notes / Data Gaps
Halifax Seed,Halifax / province-wide,"Seeds, inputs, structures, irrigation, growing media","Primary commercial-input routing destination (Functions 1, 2, 4)","High — named in landscape doc","Relationship is cold; need commercial-partnership conversation"
Atlantic Canada Greenhouse Supplies,Antigonish County,"Greenhouse structures, coverings, climate controls, fittings, filtration","Structure and equipment routing (Function 2, 4)",High — regional coverage,Need product catalog and pricing data for routing logic
Glasshouse Garden Supply,"Pleasantville, Lunenburg Co.","Garden structures, durable growing accessories",Household/prosumer structure routing (Function 2),Medium — smaller scale,Need confirmation of greenhouse-specific inventory
Maritime Greenhouse Connection,West Hants,"Custom greenhouse design, prefabricated steel greenhouses","Commercial and prosumer structure routing (Functions 1, 2)",High — custom design capability,Need pricing tiers and lead times for routing
Greenhouse Nova Scotia (member network),Province-wide,Industry association — front door to broader supplier/member network,"Supplier network access, not a single supplier",High — network-level value,"Need member directory; relationship is cold"
TapRoot Farms,"Port Williams, Annapolis Valley","CSA, vegetables, fruit, meat, eggs","Established direct-to-consumer and retail operator archetype (Function 1)","High — strong existing channels",Need seasonal capacity and overflow patterns
Four Seasons Farm,"Maitland, East Hants","Greenhouse-extended greens, herbs, vegetables",Greenhouse season-extension archetype (Function 1),High — greenhouse-enabled,Need production volume and channel data
Seafoam Lavender Gardens & Farm Store,Northumberland Shore,"Specialty perennial, value-added",Specialty/value-added operator archetype (Function 1),Medium — niche crop line,"Named in landscape doc; near Pictou Landing FN"
Coastal Grove Farm,Shelburne County,"Organic vegetables, herbs, saffron, greenhouse season-extension",Organic/specialty greenhouse archetype (Function 1),Medium — south shore coverage,Need production volume data
Yellow House Farm,"Margaree Forks, Cape Breton",Naturally grown vegetables,Cape Breton grower archetype (Function 1),Medium — CB island coverage,Need channel and capacity data
Higbee's Berry Farm & Nursery,"New Ross, Lunenburg Co.","Berries, nursery plants, vegetables, seedlings",Nursery and berry archetype; seedling supplier routing,"Medium — nursery stock adds routing dimension",Need greenhouse infrastructure status
Summer Street Farm,Pictou County,Hydroponic social-enterprise,"Named operator archetype; community-food proof point (Functions 1, 5)",High — NSH partnership active,Overflow patterns critical for Function 5 pilot
Cape Breton Food Hub,Cape Breton Island,"Online ordering, aggregation, distribution (60+ producers)","Excess-supply rescue lane; aggregation infrastructure (Function 5)",High — island distribution,Need inventory-gap signal feasibility
Wolfville Farmers' Market / WFM2Go,"Wolfville, Annapolis Valley",Saturday market + online ordering with pickup hubs,"Overflow routing channel; online ordering template (Function 5)",High — WFM2Go model,Need vendor onboarding requirements
Antigonish Farmers' Market,Antigonish,"Year-round market, commercial kitchen, own building",Year-round overflow channel (Function 5),High — year-round operations,Need vendor and inventory data
