Stakeholder,Category,Current Relevance,Why They Matter to Klara,Evidence / Status,Best Next Action
Perennia,Ecosystem Anchors & Technical Partners,"Protected-crop extension, agronomic escalation, crop-fit validation","Klara routes users to Perennia when they need specialist advice; Perennia validates recommendation credibility","Engaged — Talia Plaskett, Jennifer Haverstock. Tuesday May 5 call scheduled.","Confirm agronomic escalation protocol; ask about Mi'kmaw partnership pathways"
Nova Scotia Community College (NSCC),Ecosystem Anchors & Technical Partners,"Applied research, greenhouse operations training, validation partner","User-testing access, intake pressure-testing, prototype-to-pilot support, service-provider credibility","Engaged — Pat Wiggins orchestration; Joanne Firth ITAR; Tim Lebster COGS. Wednesday call scheduled.","Confirm PIVP fit check; ask about CMM relationship as Mi'kmaw introduction pathway"
Greenhouse Nova Scotia,Ecosystem Anchors & Technical Partners,"Grower network, industry association, structure-supplier front door","Member network = supplier/installer routing database; industry credibility for Klara's structure recommendations","Cold — no current engagement","Introduce via Perennia or NSCC connection; request member directory access"
Halifax Seed,Ecosystem Anchors & Technical Partners,"Commercial seeds, inputs, structures, irrigation, growing media, technical advice","Named commercial-input supplier for Functions 1, 2, and 4; farm and greenhouse operations focus","Cold — no current engagement","Introduce as qualified-buyer routing opportunity; frame as lead-gen value"
NS Department of Agriculture (NSDA),Ecosystem Anchors & Technical Partners,"Market access, value-added growth, food safety support programs","Food-safety compliance pathway; institutional market program; regulatory awareness for routing logic","Cold — no current engagement","Monitor food-safety support program; align routing logic with NSDA compliance requirements"
Invest Nova Scotia,Ecosystem Anchors & Technical Partners,"Business development, export support, innovation vouchers","Strategic investment fund; export-development programming; innovation-project support","Engaged — relationship exists","Confirm innovation-voucher eligibility; discuss export-readiness pathway"
NRC IRAP,Ecosystem Anchors & Technical Partners,Technical commercialization support across Atlantic Canada,"Innovation funding; technical advisory; commercialization acceleration","Cold — no current engagement","Apply through standard IRAP intake; frame as agri-tech decision-support innovation"
Farmers' Markets of Nova Scotia (FMNS),Market-Shaping & Channel Partners,"40+ member markets, market-sector infrastructure","Core infrastructure for Function 5 excess-routing; inventory-gap data source; vendor network","Cold — no current engagement","Introduce excess-routing concept; request market-inventory signal feasibility conversation"
Nova Scotia Loyal,Market-Shaping & Channel Partners,"Buy-local program: producers, retailers, food service, school vouchers, CSA incentives, online market incentives","Klara routing reinforces buy-local by making local options the default path; visibility programs become actionable",Active provincial program,Align routing logic with NS Loyal labelling and incentive programs
Taste of Nova Scotia,Market-Shaping & Channel Partners,"200+ member culinary association, culinary tourism","Food-service buyer network; restaurant demand signals; culinary credibility",Active provincial program,Explore as demand-declaration channel for Function 3
Cape Breton Food Hub,Market-Shaping & Channel Partners,"60+ local producers, aggregation, distribution, online ordering","Concrete excess-supply rescue lane; aggregation infrastructure; island-wide distribution","Active — online ordering, pickup, delivery",Explore as pilot partner for Function 5 excess-routing
Wolfville Farmers' Market / WFM2Go,Market-Shaping & Channel Partners,Saturday market + online ordering with pickup hubs,"Online ordering model = template for excess-supply routing; Annapolis Valley coverage","Active — WFM2Go with 10% NS Loyal incentive",Explore as pilot channel for overflow routing
Antigonish Farmers' Market,Market-Shaping & Channel Partners,"Year-round operations, commercial kitchen, own building","Year-round market = consistent channel for shoulder-season overflow","Active — year-round, NS Loyal incentive partner",Explore as pilot channel for overflow routing
Nova Scotia Health (NSH),Institutional & Community-Health,"Highland Health / Summer Street Farm pilot: protected-growing supply linked to care pathways","Proof point for channel-strengthening value; institutional buyer archetype; community-health reach","Active — 2026 pilot: 12-week, 20 parcels weekly, ~101 people reached through ~30 families","Monitor pilot outcomes; frame as institutional demand-declaration example"
Summer Street Farm,Institutional & Community-Health,"Hydroponic social-enterprise operation, Pictou County","Named operator archetype; excess-routing source; community-food partnership proof point","Active — NSH partnership in progress","Explore as pilot operator for Function 1 and Function 5"
FarmWorks Investment Co-operative,Capital Funding & Commercialization Accelerators,"500+ investors, $11M+ loaned to 173 NS food businesses",Values-aligned capital pathway for growers Klara routes toward expansion,Active co-operative,Frame Klara as deal-flow intelligence for FarmWorks portfolio companies
Provincial innovation vouchers,Capital Funding & Commercialization Accelerators,Post-secondary-linked applied innovation support,Funding pathway for Klara development and validation,Active provincial program,Confirm eligibility through NSCC or Invest NS
"Sobeys, Loblaw, Walmart Canada",Commercially Critical Downstream,Large retailers participating in NS Loyal buy-local visibility,"Downstream channels that determine whether overflow can become recurring revenue; compliance gating",Active — NS Loyal participation,"Map compliance requirements (food safety, packaging, labelling, documentation) into routing logic"
"Sysco, Gordon Food Service",Commercially Critical Downstream,Food-service distribution,"Institutional and food-service channel requirements (compliance, volume, documentation)",Referenced in NSDA food-safety support program,Map institutional buyer requirements into Function 3 demand-declaration routing
